symbol,stock_code
WINPRO,IRIMED
SCPL,SHECOO
KAYNES,KAYTEC
HDFCNIFIT,HDFCIT
HDFCPVTBAN,HDFPBK
AARTISURF,AARSUR
DOLATALGO,DOLINV
COMP-RE,COMRE1
DELTAMAGNT,DELMAG
VIKASPROP,VIKGRA
BBTCL,BBTRIP
PRAXIS,PRAHOM
HNDFDS,HINFOO
INOXGREEN,INOGRE
RUSTOMJEE,KEYREA
OCCL,ORICAR
JSLHISAR,JINST
GRASIM,GRASIM
GREAVESCOT,GREAVE
SURYAPHARM,SURPHA
GRMAGNET,GRMAGN
ZIMLAB,ZIMLAB
945CAGL24,CREND1
CAGL24,CREND2
960CAGL25,CREND3
CAGL25A,CREND4
10CAGL27,CREND5
GSFC,GSFC
CAGL27A,CREND6
SWSOLAR,STEWIL
VINNY,VINOVE
CASTROLIND,CASIND
AAATECH,AAATEC
FINIETF,ICIEXB
ESSEN-RE1,INTRE2
GTNIND,GTNIND
PRECAM,PRECAM
OSIAHYPER,OSIHYP
GUJALKALI,GUJALK
MBAPL,MADBHA
AMBUJACEM,AMBCE
MOLDTEKPP,MOLPP1
TEAMLEASE,TEASER
VASA,VASRET
DJML,DJMED
ROUTE,ROUMOB
SHOPER-RE,SHORE1
HYBRIDFIN,MAFFI
GUJBOROSIL,GUJBOR
KRISHANA,KRIPHO
GFLLIMITED,GUJFLO
SGBAUG27,SGBT30
SARVESHWAR,SARFOO
SFLZC26A,STFN83
GUJRATGAS,GUJGAS
PRITIKA,PRIENG
NPBET,TATNPB
BAHETI,BAHREC
ABB,ABB
DHARMAJ,DHCGU
SAFARI,SAFIND
BILENERGY,BILENE
91D090323,TQC23B
182D080623,THF23B
UNIPARTS,UNIND
360ONE,IIFWEA
BRFL,BOMRAY
ABCIL,ADIBI
IIFLCAPS,IIFSEC
SILVER1,KOTSIL
TRIVENI,TRIENG
AIAENG,AIAENG
EKC,EVEKAN
ARHAM,ARHTEC
EMCO,EMCTRA
VIMTALABS,VIMLAB
